nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-17 23:06:43 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:06:45 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:45 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:06:47 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:06:47 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:06:49 /api/mesure .................................. ~ 0.71ms
  2026-05-17 23:06:49 /api/mesure .................................. ~ 0.39ms
  2026-05-17 23:06:51 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:06:51 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:06:53 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:06:53 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:06:55 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:57 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:06:59 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:01 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:07:03 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:05 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:07 /api/mesure .................................. ~ 0.29ms
  2026-05-17 23:07:09 /api/mesure .................................. ~ 0.30ms
  2026-05-17 23:07:09 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:11 /api/mesure ................................ ~ 500.70ms
  2026-05-17 23:07:13 /api/mesure ................................ ~ 500.68ms
  2026-05-17 23:07:15 /api/mesure ................................ ~ 500.60ms
  2026-05-17 23:07:17 /api/mesure ................................ ~ 500.43ms
  2026-05-17 23:07:17 /profil ...................................... ~ 0.08ms
  2026-05-17 23:07:17 /sw.js ........................................... ~ 1s
  2026-05-17 23:07:19 /api/mesure .................................. ~ 0.16ms
  2026-05-17 23:07:21 /api/mesure ................................ ~ 500.35ms
  2026-05-17 23:07:21 /anomalies ................................... ~ 0.06ms
  2026-05-17 23:07:21 /sw.js ........................................... ~ 1s
  2026-05-17 23:07:23 /api/mesure .................................. ~ 0.05ms
  2026-05-17 23:07:24 /statistiques ................................ ~ 0.25ms
  2026-05-17 23:07:24 /sw.js ........................................... ~ 1s
  2026-05-17 23:07:27 /statistiques ................................ ~ 0.11ms
  2026-05-17 23:07:27 /statistiques .................................... ~ 1s
  2026-05-17 23:07:28 /statistiques .............................. ~ 500.68ms
  2026-05-17 23:07:28 /sw.js ........................................... ~ 1s
  2026-05-17 23:07:30 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:07:31 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:07:33 /api/mesure .................................. ~ 0.19ms
  2026-05-17 23:07:35 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:07:37 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:39 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:41 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:43 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:07:45 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:47 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:49 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:51 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:07:53 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:07:55 /api/mesure .................................. ~ 0.19ms
  2026-05-17 23:07:57 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:07:59 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:07:59 /cameras ..................................... ~ 0.10ms
  2026-05-17 23:07:59 /sw.js ........................................... ~ 1s
  2026-05-17 23:08:09 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:08:10 /cameras IP .................................. ~ 0.26ms
  2026-05-17 23:08:10 /sw.js ........................................... ~ 2s
  2026-05-17 23:08:17 /sw.js ........................................... ~ 2s
  2026-05-17 23:08:17 /cameras ......................................... ~ 2s
  2026-05-17 23:08:20 /sw.js ........................................... ~ 1s
  2026-05-17 23:08:51 /sw.js ....................................... ~ 0.14ms
  2026-05-17 23:09:01 /api/mesure .................................. ~ 0.16ms
  2026-05-17 23:09:03 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:09:03 /statistiques ................................ ~ 0.26ms
  2026-05-17 23:09:03 /sw.js ........................................... ~ 1s
  2026-05-17 23:09:06 /statistiques .............................. ~ 500.43ms
  2026-05-17 23:09:06 /sw.js ........................................... ~ 1s
  2026-05-17 23:09:08 /sms ....................................... ~ 500.41ms
  2026-05-17 23:09:08 /api/mesure ...................................... ~ 1s
  2026-05-17 23:09:10 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:09:14 /serveurs-web .............................. ~ 500.34ms
  2026-05-17 23:09:14 /sw.js ........................................... ~ 2s
  2026-05-17 23:09:19 /serveurs-bd ................................. ~ 0.12ms
  2026-05-17 23:09:19 /sw.js ........................................... ~ 2s
  2026-05-17 23:09:21 /profil ...................................... ~ 0.16ms
  2026-05-17 23:09:22 /sw.js ........................................... ~ 1s
  2026-05-17 23:09:26 /anomalies ................................... ~ 0.13ms
  2026-05-17 23:09:26 /sw.js ........................................... ~ 2s
  2026-05-17 23:09:30 /sms ......................................... ~ 0.28ms
  2026-05-17 23:09:30 /sw.js ........................................... ~ 1s
  2026-05-17 23:09:34 /statistiques ................................ ~ 0.26ms
  2026-05-17 23:09:34 /historique ...................................... ~ 1s
  2026-05-17 23:09:36 /sw.js ....................................... ~ 0.12ms
  2026-05-17 23:09:37 /sw.js ....................................... ~ 0.11ms
  2026-05-17 23:09:38 /alertes ................................... ~ 500.33ms
  2026-05-17 23:09:38 /surveillance .................................... ~ 1s
  2026-05-17 23:09:39 /sw.js ..................................... ~ 500.73ms
  2026-05-17 23:09:40 /accueil ..................................... ~ 0.16ms
  2026-05-17 23:09:40 /sw.js ..................................... ~ 500.71ms
  2026-05-17 23:09:42 /sw.js ....................................... ~ 0.13ms
  2026-05-17 23:09:44 /dashboard ................................... ~ 0.20ms
  2026-05-17 23:09:44 /api/mesure .................................. ~ 0.59ms
  2026-05-17 23:09:46 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:09:46 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:09:48 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:09:50 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:09:50 /cameras ..................................... ~ 0.24ms
  2026-05-17 23:09:51 /sw.js ........................................... ~ 1s
  2026-05-17 23:10:09 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:10:40 /sw.js ....................................... ~ 0.23ms
  2026-05-17 23:11:09 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:11:31 /cameras ..................................... ~ 0.11ms
  2026-05-17 23:11:31 /sw.js ........................................... ~ 2s
  2026-05-17 23:11:34 /cameras ..................................... ~ 0.30ms
  2026-05-17 23:11:34 /sw.js ........................................... ~ 1s
  2026-05-17 23:11:46 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:11:48 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:11:48 /cameras ................................... ~ 500.53ms
  2026-05-17 23:11:48 /sw.js ........................................... ~ 2s
  2026-05-17 23:12:09 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:12:40 /sw.js ....................................... ~ 0.23ms
  2026-05-17 23:13:09 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:13:17 /cameras ..................................... ~ 0.16ms
  2026-05-17 23:13:17 /sw.js ........................................... ~ 2s
  2026-05-17 23:13:19 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:13:20 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:13:22 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:24 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:13:26 /api/mesure .................................. ~ 0.24ms
  2026-05-17 23:13:28 /api/mesure .................................. ~ 0.20ms
  2026-05-17 23:13:30 /api/mesure .................................. ~ 0.34ms
  2026-05-17 23:13:32 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:13:34 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:13:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:13:38 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:13:42 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:13:44 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:46 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:48 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:13:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:52 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:13:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:56 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:13:58 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:00 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:14:02 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:04 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:06 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:14:08 /api/mesure ................................ ~ 500.71ms
  2026-05-17 23:14:09 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:14:10 /api/mesure ................................ ~ 500.72ms
  2026-05-17 23:14:12 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:14:14 /api/mesure ................................ ~ 500.65ms
  2026-05-17 23:14:16 /api/mesure ................................ ~ 500.68ms
  2026-05-17 23:14:18 /api/mesure ................................ ~ 500.71ms
  2026-05-17 23:14:20 /api/mesure ................................ ~ 500.75ms
  2026-05-17 23:14:22 /api/mesure ................................ ~ 500.65ms
  2026-05-17 23:14:24 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:14:26 /api/mesure .................................. ~ 0.37ms
  2026-05-17 23:14:28 /api/mesure ................................ ~ 500.63ms
  2026-05-17 23:14:30 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:14:32 /api/mesure .................................. ~ 0.29ms
  2026-05-17 23:14:34 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:14:36 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:38 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:14:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:14:42 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:44 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:46 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:14:48 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:52 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:14:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:14:56 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:14:58 /api/mesure .................................. ~ 0.24ms
  2026-05-17 23:15:00 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:02 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:15:04 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:06 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:08 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:15:09 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:10 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:12 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:15:14 /api/mesure .................................. ~ 0.13ms
